GalaxyID,Class1.1,Class1.2,Class1.3
853675,0.893239,0.073643,0.033118
476769,0.257656,0.704277,0.038067
764398,0.304676,0.695324,0.0
970723,0.164104,0.830095,0.0058
932843,0.212201,0.787799,0.0
760317,0.440265,0.533324,0.026411
601569,0.484196,0.515804,0.0
197860,0.135976,0.864024,0.0
488331,0.395127,0.585367,0.019507
676553,0.920357,0.050014,0.029629
475597,0.493855,0.501058,0.005087
208093,0.279353,0.720647,0.0
223431,0.183164,0.810204,0.006633
359843,0.311323,0.686159,0.002518
639484,0.360676,0.637443,0.001881
291922,0.214604,0.756627,0.028769
742381,0.115348,0.883133,0.001518
226539,0.080774,0.898846,0.020379
656784,0.727324,0.217109,0.055567
335605,0.439441,0.560559,0.0
393496,0.772285,0.204746,0.022969
390403,0.713161,0.286839,0.0
460139,0.210172,0.763686,0.026142
829145,0.570973,0.429027,0.0
275200,0.141419,0.858581,0.0
361859,0.817811,0.123189,0.059001
578941,0.04476,0.95524,0.0
184491,0.011332,0.988668,0.0
271349,0.687964,0.245583,0.066454
368759,0.175345,0.823397,0.001258
931389,0.562179,0.435494,0.002327
264244,0.595928,0.278096,0.125976
326409,0.854377,0.124182,0.02144
604373,0.823944,0.134363,0.041693
421867,0.031981,0.951993,0.016025
332331,0.526046,0.473242,0.000711
990253,0.889,0.022,0.089
970247,0.749361,0.181969,0.068669
838997,0.066,0.934,0.0
369151,0.542174,0.405189,0.052637
478979,0.018976,0.981024,0.0
538539,0.833765,0.14208,0.024155
929045,0.669593,0.240781,0.089626
689640,0.776305,0.207876,0.015819
166062,0.01585,0.98415,0.0
731680,0.290067,0.696972,0.012961
822448,0.333709,0.644622,0.021669
129117,0.699345,0.28366,0.016995
519685,0.27151,0.72849,0.0
592052,0.722028,0.263362,0.014609
701298,0.8258,0.1742,0.0
856723,0.534705,0.465295,0.0
217502,0.050772,0.949228,0.0
137640,0.095825,0.901524,0.002651
391392,0.17443,0.802902,0.022667
838018,0.533282,0.454092,0.012626
520128,0.161,0.816,0.023
901350,0.896513,0.061899,0.041588
863062,0.285893,0.699249,0.014858
345878,0.694267,0.271978,0.033755
382182,0.779236,0.17197,0.048794
307701,0.498418,0.488725,0.012856
776969,0.035709,0.964291,0.0
939132,0.662877,0.280819,0.056304
808945,0.722382,0.245769,0.031849
640400,0.276306,0.723694,0.0
571694,0.665838,0.334162,0.0
999423,0.229128,0.763598,0.007274
566138,0.9,0.1,0.0
459247,0.441746,0.536707,0.021547
364046,0.310529,0.665163,0.024308
139077,0.84703,0.140803,0.012167
224713,0.410989,0.580332,0.008679
191932,0.367623,0.632377,0.0
262833,0.92,0.04,0.04
938264,0.031505,0.964105,0.00439
879329,1.0,0.0,0.0
158369,0.757837,0.217526,0.024636
807436,0.530741,0.413855,0.055404
285318,0.099705,0.900295,0.0
167102,0.334342,0.665658,0.0
879898,0.311671,0.677192,0.011136
624349,0.784474,0.193669,0.021857
150618,0.915516,0.0,0.084484
824278,0.699179,0.300821,0.0
481427,0.764202,0.224816,0.010982
143358,0.776304,0.112241,0.111455
406478,0.14864,0.841259,0.010101
598838,0.151399,0.839577,0.009023
292190,0.744328,0.174206,0.081466
829128,0.301597,0.582181,0.116222
690489,0.716726,0.231574,0.0517
508424,0.97892,0.0,0.02108
567957,0.422631,0.542448,0.03492
627599,0.587831,0.391021,0.021148
912267,0.019436,0.94979,0.030773
211641,0.862383,0.137617,0.0
709669,0.735017,0.225707,0.039275
620116,0.565627,0.413841,0.020533
632872,0.589856,0.386171,0.023973
105757,0.783775,0.201369,0.014856
606610,0.408022,0.591978,0.0
776742,0.670873,0.327028,0.002099
940044,0.110676,0.88163,0.007694
938804,0.468329,0.484658,0.047013
315810,0.346474,0.612195,0.041331
608694,0.352662,0.646022,0.001316
785302,0.010759,0.982845,0.006395
206330,0.812585,0.093707,0.093707
651672,0.556982,0.304309,0.138709
590279,0.076481,0.918502,0.005017
658465,0.388751,0.59181,0.019439
395552,0.657875,0.315329,0.026796
369065,0.021184,0.955718,0.023099
771315,0.9349,0.0651,0.0
531359,0.717141,0.248321,0.034538
275718,0.551506,0.432099,0.016395
563879,0.797055,0.201945,0.001
153059,0.13382,0.857198,0.008982
407650,0.143734,0.84844,0.007827
661372,0.361661,0.638339,0.0
650146,0.434121,0.544277,0.021602
853656,0.361215,0.577495,0.061291
742478,0.597211,0.402789,0.0
575237,0.306901,0.653325,0.039775
102182,0.921081,0.0,0.078919
760254,0.784939,0.197438,0.017623
262532,0.602022,0.38408,0.013897
384368,0.242279,0.757721,0.0
734283,0.555928,0.427629,0.016443
714398,0.73,0.189,0.081
291247,0.248,0.743,0.009
753136,0.568098,0.404984,0.026919
866775,0.491719,0.47047,0.037811
302962,0.509645,0.459117,0.031238
131211,0.952407,0.047593,0.0
925009,0.053567,0.941437,0.004996
303618,0.314,0.657,0.029
901581,0.029,0.971,0.0
248014,0.320399,0.663736,0.015865
262792,0.547606,0.418958,0.033436
631450,0.793989,0.187056,0.018955
584200,0.762,0.167,0.071
820732,0.707587,0.270571,0.021842
981901,0.140929,0.85862,0.000451
451135,0.11006,0.883148,0.006793
766739,0.0,1.0,0.0
810357,0.121461,0.878539,0.0
361501,0.771782,0.18615,0.042068
999873,0.531642,0.43127,0.037088
260360,0.664802,0.311191,0.024007
898745,0.022977,0.974026,0.002997
537469,0.84105,0.15175,0.0072
228294,0.958774,0.0,0.041226
575512,0.019442,0.976229,0.004329
428842,0.094376,0.887384,0.01824
740061,0.382908,0.559171,0.057921
706822,0.615115,0.304959,0.079926
654805,0.332234,0.666967,0.000799
359900,0.067925,0.932075,0.0
731633,0.180399,0.809174,0.010427
222985,0.61204,0.356858,0.031102
371307,0.047386,0.928188,0.024426
658476,0.638154,0.345904,0.015942
118506,0.687146,0.298578,0.014276
344689,0.411783,0.588217,0.0
934440,0.25476,0.715239,0.03
617192,0.409235,0.572775,0.01799
794479,0.531642,0.371645,0.096713
299627,0.413079,0.563624,0.023296
704341,0.501586,0.467715,0.030699
470693,0.014731,0.958568,0.0267
193264,0.342142,0.651247,0.006611
445386,0.1115,0.868309,0.02019
593499,0.32001,0.660134,0.019856
720432,0.47298,0.510706,0.016315
893234,0.623625,0.355132,0.021243
643307,0.382484,0.616812,0.000704
141844,0.395119,0.604409,0.000473
887935,0.327211,0.664845,0.007943
783220,0.803559,0.080761,0.11568
893653,0.694591,0.283608,0.021802
464408,0.526227,0.473773,0.0
587065,0.251756,0.748244,0.0
988440,0.719038,0.15373,0.127232
342980,0.29597,0.70403,0.0
954771,0.874486,0.049899,0.075615
143333,0.05453,0.94487,0.0006
886671,0.527535,0.453869,0.018595
268056,0.468888,0.486515,0.044597
120586,0.406622,0.550379,0.042998
858034,0.630834,0.345407,0.023759
114863,0.045414,0.947822,0.006764
936379,0.128348,0.865638,0.006014
143163,0.607566,0.368198,0.024236
950521,0.184411,0.815589,0.0
910560,0.265757,0.729949,0.004294
998062,0.433291,0.566709,0.0
666963,0.337098,0.649232,0.01367
254134,0.725229,0.228853,0.045918
795394,0.883646,0.0,0.116354
990027,0.119705,0.880295,0.0
900136,0.710313,0.276724,0.012963
117235,0.740976,0.237077,0.021947
846440,0.080953,0.906744,0.012303
337612,0.162681,0.827173,0.010146
448463,0.51857,0.464662,0.016768
359557,0.375248,0.613203,0.011549
337744,0.138365,0.830553,0.031082
926657,0.783827,0.157286,0.058887
951932,0.438249,0.561751,0.0
916297,0.31558,0.645504,0.038916
418555,0.238717,0.73548,0.025803
114957,0.025959,0.974041,0.0
616314,0.151887,0.815195,0.032918
591244,0.249502,0.743552,0.006946
149271,0.853021,0.109314,0.037665
983150,0.634562,0.30727,0.058168
528708,0.31,0.69,0.0
486725,0.0,0.958,0.042
434280,0.045,0.955,0.0
332353,0.150885,0.848438,0.000677
212232,0.423061,0.567138,0.009801
921609,0.880881,0.071071,0.048048
507526,0.657007,0.341506,0.001487
239424,0.049045,0.946488,0.004467
732305,0.0,0.989773,0.010227
759693,0.812854,0.159869,0.027278
962263,0.074003,0.925997,0.0
321545,0.831446,0.108551,0.060002
792552,0.368063,0.609597,0.022341
938767,0.611017,0.319539,0.069445
423261,0.721042,0.231683,0.047274
799383,0.785757,0.121333,0.092909
972556,0.025593,0.965622,0.008784
385299,0.163733,0.593772,0.242495
561184,0.027423,0.969277,0.0033
197762,0.462008,0.507523,0.030469
699761,0.898242,0.101758,0.0
999353,0.82951,0.17049,0.0
990137,0.848097,0.151903,0.0
363937,0.009218,0.92386,0.066922
135256,0.085676,0.914324,0.0
476688,0.172789,0.825127,0.002084
697684,0.893139,0.088462,0.018399
426065,0.20714,0.79286,0.0
843140,0.728585,0.204104,0.067311
163618,0.310974,0.66693,0.022096
112119,0.866045,0.085587,0.048367
616824,0.442299,0.525173,0.032528
700588,0.702991,0.292594,0.004416
934859,0.746721,0.253279,0.0
875972,0.104114,0.871179,0.024708
700116,0.460938,0.516143,0.022919
719442,0.133413,0.83594,0.030647
757605,0.826358,0.115764,0.057877
323391,0.743173,0.187499,0.069328
939592,0.754856,0.204223,0.040921
130826,0.15885,0.838182,0.002968
826926,0.009784,0.971911,0.018304
415232,0.103755,0.896245,0.0
216991,0.099068,0.887932,0.013
708301,0.282026,0.669552,0.048422
886810,0.085398,0.914602,0.0
304208,0.452161,0.424565,0.123273
720225,0.197838,0.761272,0.04089
236441,0.672819,0.263291,0.06389
156283,0.792489,0.144882,0.062629
212474,0.575621,0.424379,0.0
213122,0.225536,0.769039,0.005425
524393,0.030235,0.969765,0.0
370358,0.952046,0.0,0.047954
524226,0.377223,0.596192,0.026585
492416,0.196789,0.803211,0.0
528858,0.238079,0.694625,0.067296
713689,0.193165,0.806835,0.0
496581,0.429351,0.552926,0.017723
766915,0.629371,0.33966,0.030969
769020,0.867625,0.13104,0.001335
478277,0.713241,0.272235,0.014524
421413,0.767686,0.232314,0.0
445428,0.689622,0.288829,0.021548
884020,0.152421,0.847579,0.0
241229,0.532053,0.451723,0.016224
961628,0.90991,0.045045,0.045045
745463,0.872199,0.127801,0.0
808055,0.610199,0.389801,0.0
652377,0.77961,0.22039,0.0
623668,0.713933,0.286067,0.0
229757,0.247954,0.752046,0.0
824986,0.169471,0.744652,0.085876
839829,0.549272,0.416803,0.033925
870344,0.68266,0.236561,0.080779
520231,0.070282,0.929718,0.0
137827,0.281962,0.658289,0.059749
147218,0.820065,0.089669,0.090266
306716,0.348544,0.649823,0.001633
980469,0.170601,0.821235,0.008164
514252,1.0,0.0,0.0
352606,0.569828,0.409036,0.021136
144475,0.951595,0.0,0.048405
675907,0.096499,0.899201,0.004301
887764,0.138492,0.861508,0.0
806049,0.74975,0.246037,0.004213
320653,0.200281,0.799719,0.0
789084,0.146238,0.853762,0.0
617773,0.324184,0.631627,0.044189
374263,0.642937,0.357063,0.0
605950,0.047959,0.952041,0.0
649614,0.818981,0.157899,0.02312
964567,0.209184,0.790816,0.0
967705,0.204406,0.795154,0.00044
268802,0.941059,0.045954,0.012987
119280,0.536454,0.399301,0.064245
308089,0.499866,0.451896,0.048238
661683,0.244321,0.755679,0.0
188836,0.504612,0.488039,0.007348
431077,0.06264,0.93736,0.0
420073,0.169972,0.799654,0.030373
544746,0.156213,0.830129,0.013658
465319,0.274679,0.725321,0.0
529027,0.044251,0.955749,0.0
794914,0.024465,0.975535,0.0
923006,0.468609,0.484407,0.046984
128389,0.842407,0.098226,0.059367
748938,0.203832,0.785594,0.010574
157603,0.350815,0.633538,0.015647
661587,0.134725,0.855815,0.00946
666798,0.70686,0.222536,0.070604
956287,0.060627,0.938773,0.0006
115736,0.566568,0.418752,0.01468
742294,0.842482,0.157518,0.0
967592,0.910755,0.0,0.089245
832726,0.127619,0.872381,0.0
213286,0.807658,0.127734,0.064608
348247,0.044565,0.955435,0.0
957187,0.768885,0.189838,0.041276
576436,0.272,0.679,0.049
759937,0.446988,0.515918,0.037094
704686,0.632747,0.366046,0.001207
187864,0.651748,0.304841,0.043411
573407,0.060657,0.933396,0.005948
110217,0.143877,0.805818,0.050305
269641,0.58464,0.41536,0.0
428126,0.615202,0.363669,0.021129
606633,0.034926,0.964189,0.000885
634574,0.549076,0.419285,0.031638
943966,0.67323,0.308051,0.018719
368176,0.424986,0.561489,0.013525
830516,0.893293,0.087517,0.019191
891984,0.800035,0.1288,0.071165
485191,0.020814,0.972805,0.006381
215362,0.461766,0.538234,0.0
250479,0.573858,0.369936,0.056205
404769,0.351995,0.648005,0.0
247440,0.095807,0.860003,0.04419
201411,0.593305,0.379507,0.027188
427310,0.345681,0.654319,0.0
686972,0.366226,0.586955,0.046819
162756,0.273436,0.701767,0.024798
517059,0.253165,0.729533,0.017301
152487,0.207037,0.792963,0.0
878001,0.020783,0.969787,0.009431
411926,0.044732,0.953717,0.001551
593227,0.152849,0.764951,0.082199
116873,0.519258,0.480742,0.0
701256,0.199522,0.695134,0.105344
259312,0.202164,0.787278,0.010558
435950,0.520816,0.459874,0.01931
803777,0.340875,0.659125,0.0
484363,0.884,0.093,0.023
729737,0.564107,0.350171,0.085722
738758,0.705909,0.294091,0.0
819400,0.018791,0.976549,0.004661
878565,0.10654,0.866082,0.027378
861305,0.264677,0.735323,0.0
776358,0.247355,0.703093,0.049552
963174,0.581327,0.418673,0.0
312655,0.004091,0.995909,0.0
440500,0.250204,0.744002,0.005795
323236,0.543282,0.456718,0.0
434774,0.79021,0.13986,0.06993
103260,0.908351,0.091649,0.0
664988,0.244861,0.755139,0.0
756716,0.277596,0.714831,0.007573
860313,0.395568,0.580548,0.023883
380651,0.5974,0.384894,0.017706
289448,0.487611,0.410707,0.101682
213477,0.010276,0.983943,0.005781
215766,0.685232,0.25409,0.060679
123203,0.184468,0.804256,0.011276
542710,0.451137,0.537479,0.011385
691038,0.078372,0.921186,0.000442
162204,0.726226,0.24694,0.026834
345722,0.848172,0.0713,0.080528
371515,0.6889,0.273899,0.037201
791565,0.356643,0.642358,0.000999
705371,0.235549,0.740352,0.024099
276839,0.031199,0.960267,0.008534
356492,0.466476,0.533524,0.0
525326,0.443008,0.556992,0.0
814828,0.904693,0.086147,0.00916
354881,0.775196,0.161584,0.06322
481563,0.225791,0.774209,0.0
612752,0.547676,0.409361,0.042963
248562,0.512112,0.453155,0.034732
865592,0.408406,0.564963,0.02663
774716,0.160796,0.838607,0.000598
783099,0.208,0.771,0.021
545018,0.170136,0.829864,0.0
940196,0.44698,0.55302,0.0
732566,0.869633,0.084127,0.04624
860590,0.130866,0.839955,0.02918
488341,0.598875,0.333944,0.067181
962928,0.734316,0.247274,0.01841
798947,0.4566,0.465872,0.077528
691268,0.223582,0.775348,0.00107
175537,0.776643,0.109269,0.114089
205101,0.553606,0.406236,0.040158
520805,0.751153,0.160081,0.088767
588808,0.261028,0.727884,0.011088
987320,0.119389,0.863524,0.017087
380816,0.511096,0.451939,0.036965
435266,0.274843,0.693411,0.031747
976994,0.690701,0.22121,0.08809
360605,0.775034,0.178846,0.04612
410406,0.926291,0.025282,0.048427
903235,0.577483,0.315025,0.107492
233914,0.556419,0.390623,0.052958
449550,0.47069,0.52931,0.0
858683,0.716354,0.283646,0.0
628954,0.074356,0.91665,0.008993
524783,0.251867,0.747422,0.000711
728030,0.1894,0.80114,0.00946
404992,0.568628,0.431372,0.0
566656,0.626255,0.341455,0.03229
486559,0.501072,0.472638,0.02629
703946,0.593613,0.381371,0.025016
405980,0.290559,0.683591,0.025851
437378,0.483642,0.505067,0.011291
927133,0.229383,0.761682,0.008935
448142,0.127465,0.872535,0.0
699360,0.957,0.043,0.0
754991,0.926908,0.0,0.073092
374432,0.854863,0.074025,0.071112
130972,0.165197,0.820618,0.014186
904541,0.101926,0.887263,0.010811
172275,0.854616,0.092996,0.052387
909858,0.715759,0.224101,0.060141
535902,0.185749,0.814251,0.0
493629,0.279815,0.720185,0.0
288044,0.170738,0.829262,0.0
823745,0.355562,0.622931,0.021508
274189,0.205663,0.784845,0.009492
202609,0.033371,0.966629,0.0
552103,0.296259,0.69529,0.008451
233139,0.822485,0.155385,0.02213
102556,0.620074,0.379926,0.0
702655,0.697575,0.259552,0.042873
702295,0.286268,0.700011,0.013721
696447,0.0,0.9785,0.0215
751894,0.218448,0.757963,0.023589
523280,0.289803,0.710197,0.0
287615,0.022889,0.977111,0.0
781574,0.323942,0.63774,0.038318
798589,0.310919,0.689081,0.0
479051,0.781238,0.207419,0.011343
948847,0.356761,0.61576,0.027479
142367,0.561299,0.408548,0.030153
426605,0.208425,0.790562,0.001013
622727,0.771,0.183,0.046
548535,0.59594,0.337779,0.066281
624332,0.305182,0.66954,0.025278
990046,0.147656,0.852344,0.0
483757,0.089076,0.910924,0.0
401772,0.771692,0.153916,0.074391
577889,0.246315,0.753685,0.0
257170,0.377784,0.622216,0.0
110139,0.841,0.136,0.023
981641,0.281118,0.70031,0.018572
438663,0.778,0.173,0.049
163552,0.797283,0.145407,0.057309
609819,0.322553,0.668107,0.00934
694928,0.168873,0.830272,0.000855
721810,0.787648,0.211008,0.001344
464682,0.715137,0.240733,0.04413
993915,0.305702,0.676921,0.017377
214148,0.046619,0.912539,0.040842
861076,0.845523,0.154477,0.0
836580,0.773,0.125,0.102
276198,0.521063,0.442923,0.036014
545998,0.280689,0.711139,0.008171
943132,0.128159,0.864578,0.007263
398512,0.039914,0.9529,0.007185
877448,0.783044,0.170528,0.046428
529269,0.294379,0.705621,0.0
771971,0.157284,0.82896,0.013755
541765,0.114624,0.878725,0.006651
525800,0.878,0.098,0.024
987221,0.701798,0.261225,0.036977
865597,0.228658,0.770513,0.000829
529549,0.767685,0.182292,0.050022
170224,0.929217,0.035088,0.035695
174317,0.373127,0.612089,0.014784
300650,0.443207,0.556793,0.0
143726,0.239072,0.760928,0.0
619323,0.924958,0.060383,0.014659
105497,0.0,1.0,0.0
189282,0.464887,0.516893,0.01822
342406,0.103904,0.896096,0.0
975379,0.608817,0.391183,0.0
107012,0.0,0.995229,0.004771
884182,0.765029,0.17114,0.063831
936440,0.766,0.139,0.095
328924,0.0,1.0,0.0
700103,0.575368,0.423148,0.001485
942187,0.88049,0.11951,0.0
462003,0.073956,0.906307,0.019736
518654,0.739323,0.224294,0.036383
232655,0.701,0.247,0.052
597713,0.236938,0.762114,0.000948
661716,0.249849,0.750151,0.0
296705,0.734956,0.265044,0.0
572734,0.065102,0.925308,0.009589
937005,0.177027,0.716029,0.106944
393648,0.874523,0.110021,0.015455
718310,0.314743,0.681182,0.004075
892169,0.020899,0.979101,0.0
369886,0.043398,0.956602,0.0
459428,0.062836,0.936024,0.00114
683390,0.265454,0.734546,0.0
243106,0.704584,0.295416,0.0
672788,0.721909,0.248042,0.030049
767509,0.823,0.0,0.177
798280,0.796457,0.152754,0.050789
520917,0.74355,0.242277,0.014173
662778,0.22014,0.7565,0.02336
436473,0.383502,0.585384,0.031115
932597,0.151472,0.845592,0.002936
117853,0.780139,0.193777,0.026084
416402,0.878477,0.120664,0.000859
841658,0.94537,0.0,0.05463
683836,0.307974,0.679263,0.012763
464615,0.08468,0.91532,0.0
893353,0.077164,0.915963,0.006873
923537,0.804746,0.114667,0.080587
100774,0.490703,0.418373,0.090924
194208,0.629762,0.349177,0.021061
784982,0.040954,0.959046,0.0
575935,0.115517,0.884483,0.0
105221,0.262282,0.726554,0.011164
222531,0.263586,0.733656,0.002758
505171,0.359052,0.589748,0.0512
147081,0.8412,0.129791,0.029008
565538,0.277035,0.714027,0.008938
799018,0.145183,0.853689,0.001127
834842,0.75,0.194,0.056
164645,0.641103,0.286662,0.072235
992663,0.790424,0.133048,0.076527
394243,0.225436,0.774564,0.0
663671,0.076598,0.923402,0.0
449899,0.335865,0.651,0.013135
858601,0.575134,0.392956,0.03191
465952,0.548263,0.426608,0.025129
554431,0.581715,0.383567,0.034719
968845,0.103686,0.896314,0.0
647874,0.376169,0.598566,0.025265
306467,0.907888,0.0,0.092112
176036,0.612509,0.280886,0.106605
942534,0.0,0.997,0.003
457018,0.215802,0.761209,0.022989
367998,0.5922,0.38116,0.02664
428045,0.784524,0.195403,0.020073
205013,0.451254,0.51812,0.030626
173355,0.226862,0.773138,0.0
949930,0.588,0.314,0.098
549575,0.162496,0.837504,0.0
318583,0.937975,0.061008,0.001017
523557,0.653926,0.278725,0.067349
470710,0.45823,0.54177,0.0
996854,0.0,1.0,0.0
991818,0.188549,0.730399,0.081053
801856,0.107615,0.874974,0.017411
675521,0.73113,0.227581,0.041289
690170,0.570761,0.429239,0.0
362891,0.384254,0.615746,0.0
892655,0.589972,0.389069,0.020959
802088,0.103,0.897,0.0
436905,0.274679,0.725321,0.0
959270,0.011923,0.988077,0.0
172932,0.727488,0.225102,0.04741
566653,0.857058,0.142942,0.0
277053,0.299203,0.679976,0.020821
479084,0.812978,0.15734,0.029681
986672,0.129668,0.824658,0.045674
727766,0.143127,0.815781,0.041092
279699,0.178242,0.810279,0.011479
273496,0.417306,0.582694,0.0
573824,0.59587,0.312045,0.092086
625586,0.367796,0.566115,0.066089
564212,0.310973,0.689027,0.0
345663,0.3757,0.6243,0.0
101374,0.257273,0.728601,0.014125
102595,0.12269,0.870089,0.007221
579696,0.009763,0.987996,0.002241
922026,0.963953,0.0,0.036047
319171,0.556359,0.416649,0.026992
342624,0.314087,0.685913,0.0
934968,0.260551,0.730402,0.009046
235228,0.700904,0.215945,0.083151
746560,0.049593,0.946239,0.004168
284555,0.387905,0.59808,0.014015
238675,0.127229,0.872771,0.0
532946,0.129251,0.842325,0.028425
707672,0.152754,0.835055,0.012192
701557,0.785043,0.214957,0.0
377215,0.061,0.939,0.0
442162,0.345558,0.60251,0.051932
492967,0.774662,0.154617,0.070721
753702,0.952271,0.047729,0.0
964006,0.773593,0.114529,0.111878
637029,0.076044,0.923956,0.0
291470,0.469171,0.485225,0.045604
197044,0.141724,0.845212,0.013064
366729,0.505097,0.479533,0.01537
398149,0.612,0.306,0.082
671906,0.833994,0.153778,0.012227
971622,0.07566,0.92434,0.0
756157,0.580445,0.378874,0.040681
479166,0.085302,0.914698,0.0
261097,0.225014,0.718164,0.056822
574503,0.286964,0.670694,0.042343
803714,0.748233,0.22668,0.025087
145963,0.235881,0.731182,0.032937
937013,0.548344,0.436847,0.014809
976759,0.801802,0.137137,0.061061
521712,0.25457,0.712008,0.033421
942603,0.593293,0.375817,0.03089
538651,0.290038,0.678976,0.030986
754701,0.461593,0.523128,0.015279
223340,0.959258,0.0,0.040742
691202,0.604485,0.395515,0.0
762185,0.627913,0.349415,0.022673
238756,0.100131,0.899869,0.0
671397,0.872,0.085,0.043
107379,0.028279,0.971721,0.0
959645,0.746132,0.227597,0.026271
302434,0.067038,0.932962,0.0
719701,0.240715,0.502816,0.256469
604240,0.596516,0.296765,0.106719
521909,0.435663,0.545813,0.018524
263610,0.464229,0.52184,0.013931
440477,1.0,0.0,0.0
276601,0.676257,0.29682,0.026922
292638,0.106797,0.893203,0.0
719066,0.638156,0.351252,0.010592
716956,0.652294,0.330092,0.017614
228321,0.838907,0.101414,0.059679
932842,0.662397,0.229445,0.108158
464484,0.89289,0.069337,0.037773
553542,0.135967,0.858101,0.005932
576558,0.747123,0.252877,0.0
720469,0.678539,0.308906,0.012554
265914,0.172817,0.827183,0.0
964689,0.654924,0.17374,0.171335
373812,0.414429,0.567548,0.018023
218701,0.034648,0.964608,0.000744
830435,0.170024,0.829089,0.000886
672759,0.887419,0.093587,0.018993
980008,0.693085,0.306915,0.0
293116,0.840995,0.078893,0.080112
538578,0.167546,0.832454,0.0
492196,0.276689,0.689919,0.033392
807858,0.608894,0.352677,0.038429
876031,0.122768,0.87626,0.000972
539367,0.087729,0.895243,0.017027
716082,0.064235,0.929253,0.006512
738882,0.010205,0.986227,0.003567
768986,0.503829,0.469481,0.02669
597391,0.494921,0.503498,0.001581
102271,0.386429,0.605906,0.007665
403515,0.407461,0.548775,0.043763
870633,0.88407,0.046167,0.069763
696180,0.082592,0.917408,0.0
640767,0.766056,0.206919,0.027025
274239,0.753221,0.240413,0.006366
645283,0.653936,0.284863,0.061202
468207,0.233969,0.766031,0.0
684999,0.44883,0.533328,0.017842
191957,0.139346,0.860654,0.0
972290,0.46564,0.496874,0.037487
801116,0.418671,0.581329,0.0
137253,0.568869,0.371823,0.059308
595527,0.141524,0.848769,0.009707
259679,0.0,1.0,0.0
259731,0.088675,0.905784,0.005542
650333,0.629465,0.337616,0.032919
534138,0.674885,0.264591,0.060523
408694,0.18439,0.781019,0.034591
496799,0.383027,0.616973,0.0
970837,0.264762,0.728902,0.006336
665753,0.665562,0.269428,0.065009
871420,0.4443,0.514381,0.041319
280584,0.932897,0.0,0.067103
352861,0.212432,0.787568,0.0
984906,0.026,0.974,0.0
659875,0.096605,0.886279,0.017116
342811,0.454562,0.512147,0.033291
309184,0.704529,0.282295,0.013177
465562,0.189608,0.810392,0.0
770887,0.634707,0.363525,0.001768
157484,0.758636,0.241364,0.0
413533,0.568711,0.405039,0.02625
842794,0.004306,0.995694,0.0
869794,0.189702,0.810298,0.0
431891,0.098031,0.891292,0.010677
673994,0.725261,0.250915,0.023824
811593,0.710081,0.289919,0.0
925740,0.914792,0.0,0.085208
314669,0.818146,0.161724,0.02013
216630,0.76557,0.21171,0.02272
562018,0.671792,0.328208,0.0
165614,0.925515,0.074485,0.0
107576,0.72105,0.238324,0.040626
486453,0.27511,0.72489,0.0
741361,0.060177,0.939823,0.0
389657,0.204138,0.782888,0.012974
703518,0.124995,0.875005,0.0
233410,0.072874,0.915622,0.011503
448332,0.283846,0.695844,0.020311
288021,0.710929,0.23038,0.058691
558333,0.283328,0.716672,0.0
673354,0.100866,0.899134,0.0
231437,0.36122,0.622596,0.016184
170744,0.812202,0.127448,0.060349
663096,0.093017,0.906983,0.0
597716,0.841,0.091,0.068
723485,0.364674,0.609239,0.026086
482631,0.166014,0.823758,0.010228
157953,0.761441,0.214094,0.024465
787477,0.160445,0.829188,0.010366
817895,0.604425,0.384014,0.011561
537895,0.140279,0.859721,0.0
658315,0.837,0.023,0.14
303689,0.047859,0.952141,0.0
342801,0.658975,0.341025,0.0
214539,0.24928,0.749433,0.001286
837409,0.090793,0.869947,0.039259
311104,0.887348,0.040262,0.072391
